metric_id,trial 1,trial 2,trial 3
BODYMASS_RELATIVE_TAKEOFF_POWER_Trial_W/kg,58.083,56.518,59.29
BODY_WEIGHT_LBS_Trial_lb,92.34,92.34,92.34
CONCENTRIC_DURATION_Trial_ms,0.2779999999998459,0.3019999999998326,0.27400000000033486
CONCENTRIC_IMPULSE_Asym_Ns,6.024392312996656,-7.5116440073367015,1.6215350186496988
CONCENTRIC_IMPULSE_P1_Asym_Ns,9.612802025564983,-4.480865133529973,6.258447650317477
CONCENTRIC_IMPULSE_P1_Trial_Ns,165.64296521933508,167.1999621949366,172.8606323903711
CONCENTRIC_IMPULSE_P2_Asym_Ns,1.17766661964643,-11.333407863045403,-4.738566269469861
CONCENTRIC_IMPULSE_P2_Trial_Ns,97.91629804863969,94.24829502424409,95.20096521954324
CONCENTRIC_IMPULSE_Trial_Ns,263.5592632679747,261.44825721918045,268.06159760991443
CONCENTRIC_RFD_Trial_N/s,1833.3333333343494,0.0,1249.9999999984723
CON_P2_CON_P1_IMPULSE_RATIO_Trial_,0.5911286236574215,0.5636861024786658,0.5507382676036434
ECCENTRIC_BRAKING_IMPULSE_Asym_Ns,-15.376308350428308,-9.317018392706657,2.0952343547068355
ECCENTRIC_BRAKING_IMPULSE_Trial_Ns,67.59125268269159,91.57525873147364,94.33126478043495
ECCENTRIC_BRAKING_RFD_Trial_N/s,6687.500000003705,7750.000000004294,8647.058823518842
JUMP_HEIGHT_IMP_MOM_Trial_cm,41.721328915861854,41.23752229346603,43.41044183771465
PEAK_CONCENTRIC_FORCE_Trial_N,2260.712475633528,2325.712475633528,2395.712475633528
PEAK_TAKEOFF_POWER_Trial_W,5363.353,5218.844,5474.815
RSI_MODIFIED_IMP_MOM_Trial_RSI_mod,55.04133102359496,53.14113697614547,59.14229133196403
RSI_MODIFIED_Trial_RSI_mod,57.06034233835888,55.73677769648973,62.96096429503607
